Course Code,Title,Units,Description,Prerequisites,Learning Activities,Grade Mode,General Education
ECS 036B,Software Development & Object-Oriented Programming in C++,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Computer Science, Computer Science & Engineering, Computer Engineering majors only; Pass Two restricted to Computer Science, Computer Science & Engineering, Computer Engineering, Cognitive Science, and Applied Physics majors only.Credit Limitation(s):No credit to students who have completedECS 032B,ECS 032C,ECS 034, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).",ECS 030 OR ECS 036A,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 036C,"Data Structures, Algorithms, & Programming",4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One open to Computer Science, Computer Science & Engineering, and Computer Engineering majors only. Pass Two open to Computer Science, Computer Science & Engineering, Computer Engineering, Cognitive Science, and Applied Physics majors only.Credit Limitation(s):No credit to students who have completedECS 032B,ECS 032C,ECS 034, ECS 040 or ECS 060.Grade Mode:Letter.General Education:Science & Engineering (SE).",( ECS 040 OR ECS 036B ) ;ECS 020 or better,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 050,Computer Organization & Machine-Dependent Programming,4,"Learning Activities:Lecture 3 hour(s), Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Computer Science and Computer Science & Engineering majors only.Credit Limitation(s):1 unit of credit if student has taken EEC 070.Grade Mode:Letter.General Education:Science & Engineering (SE).",ECS 040 OR ECS 036B OR ECS 032C,"Lecture 3 hour(s), Discussion 1 hour(s)",Letter,SE
ECS 088,Ethics of Technology,4,Learning Activities:Lecture 3 hour(s); Discussion 1 hour(s).Enrollment Restriction(s):Pass One restricted to Computer Science and Computer Science Engineering majors only.Credit Limitation(s):Not open for credit to students who have takenECS 188.Grade Mode:Letter.General Education:Science & Engineering (SE) or Social Sciences (SS).,,Lecture 3 hour(s); Discussion 1 hour(s),Letter,"SE, SS"
ECS 089A,Special Topics in Computer Science: Computer Science Theory,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089B,Special Topics in Computer Science: Architecture,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089C,Special Topics in Computer Science: Programming Languages & Compilers,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089D,Special Topics in Computer Science: Operating Systems,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089E,Special Topics in Computer Science: Software Engineering,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089F,Special Topics in Computer Science: Databases,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
ECS 089G,Special Topics in Computer Science: Artificial Intelligence,1,"Learning Activities:Lecture, Laboratory, Lecture/Lab.Repeat Credit:May be repeated when topic differs.Grade Mode:Letter.General Education:Science & Engineering (SE).",Consent of instructor,"Lecture, Laboratory, Lecture/Lab",Letter,SE
